address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
1420 N. Claremont Blvd. #204C,Claremont,2332.0,Claremont Craft Ales,CA,MicroBrewery,-117.702831,34.108359,91711,2013,2015,060374018001030,06037401800
3804 S.W. 30th Ave.,Fort Lauderdale,2332.0,Gordash Brewing Co.,FL,MicroBrewery,-80.18115,26.074317,33312,2009,2010,120111106003133,12011110600
9118 W. State Road 84,Davie,2332.0,Holy Mackerel Beers @ Stage 84 Taphouse,FL,BrewHouse,-80.2714594,26.102643,33324,2011,2011,120110702071010,12011070207
287 US Highway 1,Tequesta,2338.0,Tequesta Brewing Co./Corner Café,FL,BrewPub,-80.0848941,26.9560136,33469,2011,2015,120990001022030,12099000102
289 US Highway 1,Tequesta,2338.0,Corner Cafe & Brewery,FL,BrewPub,-80.08456,26.958846,33469,2009,2010,120990001022020,12099000102
311 Octavia St.,New Orleans,2343.0,New Orleans Lager and Ale Co.,LA,MicroBrewery,-90.1171,29.916615,70115,2009,2011,220710114001017,22071011400
3001 Tchoupitoulas St.,New Orleans,2343.0,NOLA Brewing Co.,LA,MicroBrewery,-90.080951,29.919847,70130,2012,2015,220710142001013,22071014200
25 Ionia Ave. SW,Grand Rapids,2346.0,HopCat Brewing Co.,MI,BrewPub,-85.670406,42.962348,49503,2011,2015,260810020002005,26081002000
25 Ionia SW,Grand Rapids,2346.0,HopCat Brewing Co.,MI,BrewPub,-85.670406,42.962348,49503,2009,2010,260810020002005,26081002000
684 Commerce St.,Holland,2347.0,New Holland Brewing Co.,MI,Brewery,-86.114154,42.818513,49424,2015,2015,261390222031000,26139022203
690 Commerce St.,Holland,2347.0,New Holland Brewing Co.,MI,MicroBrewery,-86.113379,42.817528,49424,2009,2014,261390222031000,26139022203
311 N. Heritage St.,Kinston,2349.0,Mother Earth Brewing Co.,NC,MicroBrewery,-77.582639,35.262668,28501,2010,2011,371070107002013,37107010700
311 N. Herritage St.,Kinston,2349.0,Mother Earth Brewing Co.,NC,MicroBrewery,-77.582639,35.262668,28501,2012,2015,371070107002013,37107010700
4150 Yancey Rd.,Charlotte,2364.0,Olde Mecklenburg Brewery,NC,BrewPub,-80.881973,35.187442,28217,2015,2015,371190038023021,37119003802
215 Southside Dr.,Charlotte,2364.0,Olde Mecklenburg Brewery,NC,MicroBrewery,-80.880483,35.185672,28217,2009,2015,371190038023031,37119003802
2724 SE Ankeny St.,Portland,2369.0,Coalition Brewing Co.,OR,BrewPub,-122.637976,45.521998,97214,2011,2014,410510020004016,41051002000
2705 SE Ankeny St.,Portland,2369.0,Coalition Brewing Co.,OR,Brewery,-122.638049,45.522376,97214,2015,2015,410510020004007,41051002000
13605 Main St.,Talkeetna,2383.0,Denali Brewing @ Twister Creek Restaurant,AK,BrewPub,-150.113977,62.323298,99676,2009,2010,021700001021027,02170000102
13605 E. Main St.,Talkeetna,2383.0,Denali Brewing @ Twister Creek Restaurant,AK,BrewPub,-150.114123,62.323379,99676,2011,2015,021700001021027,02170000102
227 Broadway,Denver,2387.0,TRVE Brewing Co.,CO,MicroBrewery,-104.987507,39.719849,80203,2013,2015,080310021001011,08031002100
2 Third St. SW,Hickory,2387.0,Olde Hickory Brewery,NC,MicroBrewery,-81.342007,35.731716,28601,2009,2010,370350105011038,37035010501
166 Barbee Rd.,Abita Springs,2393.0,Abita Brewing Co. ,LA,MicroBrewery,-90.055515,30.481436,70420,2011,2015,221030406052006,22103040605
166 Barbee Rd.,Covington,2393.0,Abita Brewing Co. ,LA,MicroBrewery,-90.055515,30.481436,70433,2010,2010,221030406052006,22103040605
208 Pike St.,Covington,2414.0,Red Ear Brewing Co.,KY,BrewPub,-84.513416,39.082518,41011,2012,2013,211170603001021,21117060300
654 Highland Ave.,Fort Thomas,2414.0,Red Ear Brewing @ Vito's Café,KY,BrewPub,-84.461386,39.075744,41075,2010,2011,210370523023006,21037052302
29281 Agoura Rd.,Agoura Hills,2453.0,Ladyface Alehouse & Brasserie,CA,BrewPub,-118.763529,34.143596,91301,2012,2015,060378003261001,06037800326
28281 Agoura Rd.,Agoura Hills,2453.0,Ladyface Alehouse & Brasserie,CA,BrewPub,-118.742281,34.141015,91301,2010,2011,060378003292024,06037800329
5400 N. Clark St.,Chicago,2461.0,Hamburger Mary's,IL,BrewPub,-87.668414,41.97996,60640,2010,2014,170310309002000,17031030900
5402 N. Clark St.,Chicago,2461.0,Andersonville Brewing / Mary's Rec Room,IL,BrewPub,-87.668439,41.980055,60640,2015,2015,170310309002000,17031030900
12337 S. Route 59,Plainfield,2462.0,Limestone Restaurant & Brewery,IL,BrewPub,-88.203403,41.657354,60544,2010,2015,171978803081043,17197880308
36 Bridge St.,Brattleboro,2462.0,Whetstone Station Restaurant & Brewery,VT,BrewPub,-72.556392,42.851352,05301,2014,2015,500259685003000,50025968500
209 Technology Park Ln.,Fuquay Varina,2467.0,Aviator Brewing Co.,NC,MicroBrewery,-78.808539,35.619701,27526,2011,2015,371830532051035,37183053205
5633 Piper Dr.,Fuquay Varina,2467.0,Aviator Brewery Tap House,NC,MicroBrewery,-78.702444,35.621345,27526,2010,2010,371830531102010,37183053110
150 S. Washington St.,Valparaiso,2488.0,Figure Eight Brewing Co.,IN,MicroBrewery,-87.060557,41.466766,46383,2013,2015,181270509001019,18127050900
1555 West Lincolnway,Valparaiso,2488.0,Figure Eight Brewing Co.,IN,MicroBrewery,-87.078752,41.472919,46385,2011,2012,181270506044018,18127050604
1 Industrial Way,Portland,2521.0,Maine Beer Co.,ME,MicroBrewery,-70.3197516,43.7031978,04103,2010,2015,230050021022013,23005002102
525 US Route 1,Freeport,2521.0,Maine Beer Co.,ME,Brewery,-70.121407,43.839144,04032,2015,2015,230050045024011,23005004502
607 Shepherd Lane,Lockland,2548.0,Rivertown Brewing Co.,OH,MicroBrewery,-84.46285,39.23642,45215,2012,2015,390610274004001,39061027400
607 Shepherd Lane,Cincinnati,2548.0,Rivertown Brewing Co.,OH,MicroBrewery,-84.464593,39.23948,45215,2011,2011,390610227004003,39061022700
13005 Fitzhugh Rd. Bldg B,Austin,2557.0,Jester King Craft Brewery,TX,MicroBrewery,-97.999764,30.232337,78736,2013,2015,482090108092017,48209010809
14108 Rountree Ranch Lane,Austin,2557.0,Jester King Craft Brewery,TX,MicroBrewery,-97.796178,30.49438,78717,2011,2012,484910203112003,48491020311
385 Sun Valley Mall,Concord,2561.0,BJ's Restaurant and Brewery,CA,BrewPub,-122.06196,37.967176,94520,2011,2015,060133270005068,06013327000
385 Sunvalley Mall,Concord,2561.0,BJ's Restaurant and Brewery,CA,BrewPub,-122.06196,37.967176,94520,2010,2010,060133270005068,06013327000
150 W. 96th St.,Indianapolis,2571.0,Granite City Food & Brewery,IN,BrewPub,-86.161719,39.927073,46290,2010,2013,180571111023041,18057111102
150 W. 96th St.,Carmel,2571.0,Granite City Food & Brewery,IN,BrewPub,-86.161719,39.927073,46290,2014,2015,180571111023041,18057111102
113 W. 9th St.,Vancouver,2586.0,Mt. Tabor Brewing Co.,WA,MicroBrewery,-122.6723853,45.6279879,98660,2012,2015,530110424001039,53011042400
824 SE 73rd Ave.,Portland,2586.0,Mt. Tabor Brewing Co.,OR,MicroBrewery,-122.587359,45.517306,97215,2011,2011,410510016015008,41051001601
212 W. U.S. 50 Highway,Gunnison,2607.0,Crested Butte Brewing Co.,CO,MicroBrewery,-106.9880678,38.5224901,81230,2010,2011,080519636005047,08051963600
212 W. Highway 50,Gunnison,2607.0,Crested Butte Brewing Co.,CO,BrewPub,-106.93983,38.54221,81230,2012,2013,080519637003058,08051963700
846 E. Main St.,Montrose,2609.0,Horsefly Brewing Co.,CO,BrewPub,-107.872007,38.482777,81041,2011,2015,080859663002018,08085966300
2320 E. Main St.,Montrose,2609.0,Horsefly Brewing Co.,CO,MicroBrewery,-107.8512806,38.4886016,81041,2010,2010,080859664001001,08085966400
856 E. 136th St.,Bronx,2625.0,Bronx Brewery,NY,Brewery,-73.910387,40.80203,10454,2015,2015,360050019003026,36005001900
7 Bruckner Blvd.,New York,2625.0,Bronx Brewery,NY,MicroBrewery,-73.930048,40.808021,10454,2012,2013,360050019001003,36005001900
1500 Beach Blvd.,Jacksonville,2640.0,Engine 15 Brewing Co.,FL,MicroBrewery,-81.6364935,30.3054692,32207,2011,2011,120310006004000,12031000600
1500 Beach Blvd.,Jacksonville Beach,2640.0,Engine 15 Brewing Co.,FL,MicroBrewery,-81.407208,30.288086,32250,2012,2015,120310142043000,12031014204
60 E. San Francisco St.,Santa Fe,2648.0,Marble Brewery Taproom,NM,BrewHouse,-105.9381399,35.6869435,87501,2010,2014,350490004001032,35049000400
"505 Cerrillos Rd., Suite A105",Santa Fe,2648.0,Marble Brewery Taproom,NM,BrewHouse,-105.9447552,35.6824377,87501,2015,2015,350490004001063,35049000400
612 Big Bear Blvd. #523,Columbia,2657.0,Rock Bridge Brewing Co.,MO,MicroBrewery,-92.329867,38.977256,65203,2013,2014,290190014001135,29019001400
1330 E. Prathersville Rd.,Columbia,2657.0,Rock Bridge Brewing Co.,MO,Brewery,-92.319707,39.01477,65202,2015,2015,290190015033032,29019001503
2953 Ridgeway Dr.,Turner,2664.0,Gilgamesh Brewing,OR,MicroBrewery,-123.002392,44.8105199,97392,2011,2012,410470108013019,41047010801
2065 SE Madrona Ave.,Salem,2664.0,Gilgamesh Brewing Campus,OR,BrewPub,-123.018088,44.90557,97302,2013,2015,410470010003058,41047001000
202 S.W. First St.,Corvallis,2691.0,Flat Tail Brewing,OR,BrewPub,-123.2593048,44.5627918,97333,2011,2012,410030106001044,41003010600
