address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
347 W. 2nd St.,Colville,,Lost Falls Brewing Co.,WA,MicroBrewery,-117.9095298,48.5454788,99114,2005,2015,530659503003010,53065950300
12921 W. 17th Ave.,Airway Heights,2483,Golden Hills Brewing Co.,WA,MicroBrewery,-117.589211,47.640137,99001,2010,2015,530630104012017,53063010401
905 Yakima Valley Hwy,Sunnyside,,Snipes Mountain Brewery & Restaurant,WA,BrewPub,-120.008212,46.328489,98944,2005,2015,530770020013028,53077002001
208 W. Pennsylvania Ave.,Roslyn,1258,Roslyn Brewing,WA,MicroBrewery,-120.995644467,47.2219021884,98941,2006,2015,530379751003095,53037975100
208 Pennsylvania Ave.,Roslyn,,Roslyn Brewing,WA,MicroBrewery,-120.9948483,47.2219623,98941,2005,2005,530379751003095,53037975100
"200 N. 1st St., Unit B",Roslyn,5115,Wild Earth Brewing Co.,WA,Brewery,-120.9943132,47.2239228,98941,2015,2015,530379751003089,53037975100
109 N. Main,Kittitas,4422,Colockum Brewing,WA,MicroBrewery,-120.417605,46.983397,98934,2014,2015,530379757002051,53037975700
"1000 Prospect St., #4",Ellensburg,,Iron Horse Brewery,WA,MicroBrewery,-81.8576111,41.3464758,98926,2005,2007,390351861052000,39035186105
"1000 N. Prospect St., #4",Ellensburg,640,Iron Horse Brewery,WA,MicroBrewery,-120.565100989,46.9993746105,98926,2008,2015,530379756002021,53037975600
1803 Presson Pl,Yakima,,Grant's Brewery Pub (Yakima Brewing),WA,BrewPub,-120.500213,46.5714332,98903,2005,2006,530770012023000,53077001202
2920 River Rd.,Yakima,2237,Yakima Craft Brewing Co.,WA,MicroBrewery,-120.548064,46.617852,98902,2009,2015,530770003001023,53077000300
32 N. Front St.,Yakima,,Grant's Brewery Pub,WA,BrewPub,-120.5083774,46.603173,98901,2005,2005,530770001002035,53077000100
1801 Birchfield Rd.,Yakima,3619,Bale Breaker Brewing,WA,MicroBrewery,-120.435485,46.576781,98901,2014,2015,530770017021008,53077001702
120 E. Yakima Ave.,Yakima,5406,Yakima Craft Brewing Taproom on the Ave,WA,BrewHouse,-120.5049764,46.6024683,98901,2015,2015,530770001002041,53077000100
155 Riverside Ave.,Winthrop,,Winthrop Brewing Co.,WA,BrewPub,-120.1865723,48.4781634,98862,2005,2015,530479709003024,53047970900
209 E. 2nd Ave.,Twisp,,Methow Valley Brewing Co.& Twisp River Pub,WA,BrewPub,-120.1201885,48.3652036,98856,2005,2006,530479710003033,53047971000
201 Highway 20 (Division St.),Twisp,832,Twisp River Pub & Methow Valley Brewing Co.,WA,BrewPub,-120.122644901,48.3662219157,98856,2007,2015,530479710003036,53047971000
21547 Road 11.2 NW,Quincy,2803,Ancient Lakes Brewing Co.,WA,MicroBrewery,-119.9551015,47.2529548,98848,2012,2014,530250105001042,53025010500
821 14th St.,Oroville,,Alpine Brewing Co.,WA,BrewPub,-119.43674,48.939025,98844,2005,2015,530479703007125,53047970300
606 W. Broadway,Moses Lake,4284,St. Brigid's Brewery,WA,MicroBrewery,-119.285171,47.127956,98837,2014,2015,530250111003002,53025011100
1165 N Stratford Rd.,Moses Lake,4284,Ten Pin Brewing Co.,WA,Brewery,-119.277596,47.145058,98837,2015,2015,530250109022032,53025010902
935 Front St.,Leavenworth,2782,Icicle Brewing Co.,WA,MicroBrewery,-120.659626,47.5961799,98826,2012,2015,530079602002019,53007960200
636 Front St.,Leavenworth,,Leavenworth Brewing Co.,WA,BrewPub,-120.6637673,47.5947113,98826,2005,2005,530079602002039,53007960200
225 Hwy 150,Chelan,,Deep Water Brewing & Public House,WA,BrewPub,-120.055297,47.85519,98816,2005,2005,530079603002040,53007960300
215 Mission St.,Cashmere,1859,Cashmere Brewing Co.,WA,MicroBrewery,-120.467287,47.521071,98815,2008,2010,530079606001028,53007960600
538 Riverside Dr.,Wenatchee,3243,Columbia Valley Brewing Co.,WA,MicroBrewery,-120.331669,47.427811,98801,2012,2015,530079613023006,53007961302
1 Orondo Ave.,Wenatchee,5076,Badger Mountain Brewing,WA,Brewery,-120.309255,47.423872,98801,2015,2015,530079610001006,53007961000
5612 NE 119th St.,Vancouver,3671,Heathen Brewing (by appt only),WA,MicroBrewery,-122.613956,45.7077,98686,2013,2015,530110408053003,53011040805
1900 NE 162nd,Vancouver,,McMenamins East Vancouver,WA,BrewPub,-122.5076715,45.6369793,98684,2005,2015,530110413191020,53011041319
151 E. Jewett Blvd.,White Salmon,2384,Everybody's Brewing,WA,BrewPub,-121.485953,45.727444,98672,2009,2015,530399503004036,53039950300
"421 C St., #1B",Washougal,4537,Rail Side Brewing,WA,MicroBrewery,-122.3733215,45.5811768,98671,2014,2015,530110415002000,53011041500
1834 Main St.,Washougal,3118,Amnesia Brewing,WA,BrewPub,-122.35239,45.578508,98671,2014,2015,530110405092051,53011040509
2502 NE 99th St.,Vancouver,4958,Doomsday Brewing Co. ,WA,Brewery,-122.6456451,45.693409,98665,2015,2015,530110408033008,53011040803
8513 NE Hwy 99 ,Vancouver,,Hazel Dell Brewpub ,WA,BrewPub,-122.660349,45.6840351,98665,2005,2012,530110408101007,53011040810
1801 SE Columbia River Dr. ,Vancouver,,McMenamins on the Columbia,WA,BrewPub,-122.6529693,45.615038,98661,2005,2015,530110426003038,53011042600
108 W. Evergreen Blvd. ,Vancouver,1278,Salmon Creek Brewery & Pub ,WA,BrewPub,-122.671611492,45.6288791368,98660,2006,2015,530110425002051,53011042500
507 Columbia St.,Vancouver,3011,Loowit Brewing,WA,MicroBrewery,-122.673838,45.625069,98660,2014,2015,530110424002015,53011042400
113 W. 9th St.,Vancouver,2586,Mt. Tabor Brewing Co.,WA,MicroBrewery,-122.6723853,45.6279879,98660,2012,2015,530110424001039,53011042400
114 E. Evergreen Blvd.,Vancouver ,4348,Dirty Hands Brewing Co.,WA,MicroBrewery,-122.671376,45.628786,98660,2014,2015,530110425002051,53011042500
108 West Evergreen Boulevard ,Vancouver,,Salmon Creek Brewery & Pub ,WA,BrewPub,-122.6723131,45.6289253,98660,2005,2005,530110424001027,53011042400
240 SW First Street,Stevenson,,Walking Man Brewing & Public House,WA,BrewPub,-121.8839413,45.692324,98648,2005,2005,530599503001034,53059950300
240 SW First St.,Stevenson,1523,Walking Man Brewing & Public House,WA,BrewPub,-121.885042799,45.6922070648,98648,2006,2015,530599503001033,53059950300
4202 Pacific Way,Seaview,5117,North Jetty Brewing,WA,Brewery,-124.0547553,46.3331658,98644,2015,2015,530499505001079,53049950500
1329 Commerce Ave.,Longview,,Vintage Bistro & Brewing Co.,WA,BrewPub,-122.934421,46.1377848,98632,2005,2005,530150021002032,53015002100
3225 Ocean Beach Hwy,Longview,2999,Parker's Steakhouse & Brewery,WA,BrewPub,-122.968289,46.147992,98632,2011,2012,530150006011003,53015000601
1175 Hudson St.,Longview,3741,Ashtown Brewing,WA,MicroBrewery,-122.932723,46.136707,98632,2014,2015,530150021004004,53015002100
285 Third St.,Cathlamet,5034,Drop Anchor Brewery,WA,Brewery,-123.3868416,46.2054846,98612,2015,2015,530699501004016,53069950100
1300 Mount St. Helens Way,Castle Rock,2999,Parker's Steakhouse & Brewery,WA,BrewPub,-122.898733,46.287481,98611,2013,2015,530150020021049,53015002002
1162-B Wind River Rd.,Carson,3851,Backwoods Brewing Co.,WA,BrewPub,-121.820481,45.728643,98610,2013,2015,530599505002025,53059950500
342 Carson Creek Rd.,Carson,4464,Acadian Farms & Brewery,WA,MicroBrewery,-121.8253403,45.7252541,98610,2014,2015,530599505002015,53059950500
882 Hot Springs Ave.,Carson,5098,Barnstormer Brewing,WA,Brewery,-121.801988,45.725962,98610,2015,2015,530599504001058,53059950400
